id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM
1;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;60;M;Urban; 1 496 
2;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;M;Urban; 1 319 
3;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;48;M;Urban; 1 079 
4;4; 730 ; 648 ; 657 ; 760 ; -   ; -   ;Private;SUV;35;F;Urban; 1 119 
5;2; 681 ; 737 ; -   ; -   ; -   ; -   ;Private;Sedan;51;M;Urban; 1 012 
6;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;50;F;Urban; 1 428 
7;2; 691 ; 729 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;34;F;Urban; 1 337 
8;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 109 
9;1; 768 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;40;M;Urban; 1 282 
10;1;-500 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van; 60 ;M;Urban; 1 200 
11;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban; 1 499 
12;2; 50 000 ;-10 ; -   ; -   ; -   ; -   ;Private;Panel Truck; 32 ;M;Urban; 1 460 
13;2; 620 ; 680 ; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Rural; 1 300 
14;2; 725 ; 680 ; -   ; -   ; -   ; -   ;Private;Sports Car;53;F;Urban; 1 107 
15;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;F;Rural; 1 131 
16;3; 746 ; 696 ; 598 ; -   ; -   ; -   ;Commercial;Van;55;M;Urban; 1 201 
17;1; 723 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;53;M;Urban; 1 457 
18;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;35;M;Rural; 1 472 
19;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 091 
20;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural; 1 177 
21;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;59;M;Urban; 1 280 
22;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban; 1 122 
23;2; 717 ; 716 ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban; 1 250 
24;2; 669 ; 767 ; -   ; -   ; -   ; -   ;Private;Sedan;31;F;Urban; 1 126 
25;1; 637 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;28;F;Urban; 1 082 
26;2; 712 ; 693 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 298 
27;1; 590 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban; 1 005 
28;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;F;Urban; 1 390 
29;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban; 1 009 
30;1; 671 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 178 
31;2; 673 ; 672 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;60;F;Urban; 1 082 
32;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;33;F;Rural; 1 270 
33;2; 716 ; 813 ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban; 1 042 
34;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban; 1 341 
35;2; 793 ; 774 ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 163 
36;2; 670 ; 732 ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Rural; 1 212 
37;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban; 1 083 
38;2; 686 ; 871 ; -   ; -   ; -   ; -   ;Private;Sedan;49;M;Urban; 1 180 
39;3; 653 ; 691 ; 756 ; -   ; -   ; -   ;Commercial;Sedan;36;F;Rural; 1 323 
40;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban; 1 364 
41;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Urban; 1 079 
42;5; 712 ; 727 ; 702 ; 721 ; 562 ; -   ;Commercial;Van;39;M;Urban; 1 301 
43;1; 660 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Rural; 1 449 
44;2; 715 ; 703 ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Urban; 1 496 
45;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural; 1 065 
46;1; 723 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;43;F;Urban; 1 168 
47;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban; 1 361 
48;2; 712 ; 730 ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban; 1 222 
49;2; 702 ; 689 ; -   ; -   ; -   ; -   ;Commercial;SUV;52;F;Rural; 1 463 
50;3; 707 ; 692 ; 748 ; -   ; -   ; -   ;Commercial;Pickup;35;M;Urban; 1 206 
51;2; 667 ; 673 ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban; 1 288 
52;1; 677 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural; 1 452 
53;1; 756 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban; 1 274 
54;2; 692 ; 677 ; -   ; -   ; -   ; -   ;Commercial;Sedan;31;M;Urban; 1 370 
55;2; 718 ; 679 ; -   ; -   ; -   ; -   ;Commercial;SUV;47;F;Urban; 1 194 
56;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban; 1 352 
57;1; 628 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural; 1 144 
58;3; 668 ; 720 ; 707 ; -   ; -   ; -   ;Private;Sedan;33;M;Urban; 1 039 
59;4; 643 ; 638 ; 799 ; 591 ; -   ; -   ;Private;Sedan;59;M;Urban; 1 355 
60;1; 719 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;42;M;Rural; 1 133 
61;1; 703 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;M;Urban; 1 459 
62;4; 691 ; 693 ; 716 ; 643 ; -   ; -   ;Private;Sedan;41;F;Urban; 1 253 
63;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;37;F;Urban; 1 411 
64;3; 699 ; 753 ; 710 ; -   ; -   ; -   ;Private;Sedan;36;M;Urban; 1 003 
65;2; 765 ; 671 ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban; 1 435 
66;1; 697 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;M;Urban; 1 483 
67;1; 652 ; -   ; -   ; -   ; -   ; -   ;Private;Van;45;F;Urban; 1 385 
68;3; 816 ; 744 ; 693 ; -   ; -   ; -   ;Private;Sedan;34;M;Rural; 1 033 
69;2; 725 ; 700 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;48;M;Urban; 1 117 
70;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban; 1 239 
71;4; 763 ; 770 ; 711 ; 720 ; -   ; -   ;Private;SUV;33;F;Urban; 1 434 
72;1; 671 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban; 1 369 
73;1; 765 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;34;F;Urban; 1 264 
74;1; 658 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;F;Urban; 1 224 
75;2; 687 ; 774 ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 318 
76;4; 745 ; 649 ; 717 ; 743 ; -   ; -   ;Private;Sports Car;44;F;Urban; 1 010 
77;1; 806 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban; 1 291 
78;2; 630 ; 692 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;49;M;Urban; 1 196 
79;2; 703 ; 605 ; -   ; -   ; -   ; -   ;Private;Sedan;46;F;Urban; 1 176 
80;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 440 
81;1; 642 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 084 
82;4; 724 ; 736 ; 707 ; 770 ; -   ; -   ;Commercial;Pickup;45;M;Urban; 1 168 
83;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;48;M;Urban; 1 413 
84;1; 712 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban; 1 482 
85;2; 778 ; 672 ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Urban; 1 308 
86;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban; 1 211 
87;1; 707 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;62;F;Urban; 1 012 
88;3; 692 ; 786 ; 616 ; -   ; -   ; -   ;Private;Sports Car;48;F;Urban; 1 096 
89;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;37;F;Urban; 1 148 
90;3; 643 ; 689 ; 731 ; -   ; -   ; -   ;Private;Sports Car;35;F;Urban; 1 473 
91;1; 688 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban; 1 056 
92;2; 659 ; 589 ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Urban; 1 218 
93;4; 716 ; 610 ; 710 ; 678 ; -   ; -   ;Private;SUV;49;F;Urban; 1 182 
94;2; 680 ; 713 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;44;F;Rural; 1 261 
95;2; 685 ; 693 ; -   ; -   ; -   ; -   ;Private;Sedan;50;F;Rural; 1 206 
96;1; 754 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;30;F;Rural; 1 163 
97;1; 726 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;M;Urban; 1 370 
98;2; 663 ; 748 ; -   ; -   ; -   ; -   ;Commercial;Van;38;M;Rural; 1 155 
99;2; 650 ; 752 ; -   ; -   ; -   ; -   ;Commercial;SUV;53;F;Urban; 1 252 
100;5; 660 ; 625 ; 628 ; 728 ; 710 ; -   ;Private;SUV;53;F;Urban; 1 333 
101;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;29;M;Urban; 1 396 
102;2; 671 ; 671 ; -   ; -   ; -   ; -   ;Private;Pickup;58;M;Urban; 1 050 
103;1; 645 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;55;F;Urban; 1 472 
104;2; 681 ; 639 ; -   ; -   ; -   ; -   ;Commercial;Pickup;55;M;Urban; 1 171 
105;1; 727 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Rural; 1 154 
106;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban; 1 321 
107;3; 671 ; 768 ; 752 ; -   ; -   ; -   ;Private;Sedan;44;M;Urban; 1 454 
108;3; 740 ; 725 ; 741 ; -   ; -   ; -   ;Private;Van;34;M;Urban; 1 349 
109;4; 611 ; 678 ; 705 ; 736 ; -   ; -   ;Private;SUV;34;F;Urban; 1 036 
110;2; 704 ; 697 ; -   ; -   ; -   ; -   ;Private;Sedan;36;M;Urban; 1 376 
111;5; 635 ; 713 ; 722 ; 635 ; 769 ; -   ;Private;Sedan;41;M;Urban; 1 233 
112;2; 612 ; 678 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 357 
113;3; 732 ; 732 ; 627 ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 392 
114;1; 691 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban; 1 158 
115;1; 731 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;M;Rural; 1 030 
116;2; 770 ; 752 ; -   ; -   ; -   ; -   ;Commercial;Sedan;33;M;Urban; 1 197 
117;3; 710 ; 670 ; 689 ; -   ; -   ; -   ;Commercial;SUV;37;F;Urban; 1 002 
118;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;F;Urban; 1 244 
119;2; 689 ; 653 ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban; 1 326 
120;1; 738 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 298 
121;1; 699 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;F;Rural; 1 200 
122;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 011 
123;2; 813 ; 723 ; -   ; -   ; -   ; -   ;Commercial;SUV;64;M;Urban; 1 295 
124;1; 673 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;66;M;Urban; 1 242 
125;2; 682 ; 760 ; -   ; -   ; -   ; -   ;Commercial;Pickup;60;M;Urban; 1 371 
126;2; 714 ; 769 ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 045 
127;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;52;M;Urban; 1 301 
128;2; 698 ; 748 ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban; 1 019 
129;2; 696 ; 749 ; -   ; -   ; -   ; -   ;Commercial;Van;56;M;Urban; 1 029 
130;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;38;F;Rural; 1 388 
131;2; 646 ; 714 ; -   ; -   ; -   ; -   ;Private;SUV;55;F;Urban; 1 130 
132;1; 688 ; -   ; -   ; -   ; -   ; -   ;Private;Van;47;M;Urban; 1 138 
133;1; 689 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban; 1 272 
134;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;47;M;Urban; 1 342 
135;1; 830 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;26;M;Urban; 1 418 
136;2; 689 ; 646 ; -   ; -   ; -   ; -   ;Private;Sports Car;61;F;Urban; 1 158 
137;4; 684 ; 631 ; 699 ; 688 ; -   ; -   ;Commercial;Pickup;41;F;Urban; 1 012 
138;1; 708 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;40;F;Rural; 1 454 
139;2; 773 ; 733 ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban; 1 496 
140;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;58;F;Urban; 1 381 
141;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban; 1 081 
142;1; 658 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Urban; 1 127 
143;2; 750 ; 731 ; -   ; -   ; -   ; -   ;Private;Pickup;41;M;Urban; 1 116 
144;3; 759 ; 682 ; 714 ; -   ; -   ; -   ;Private;SUV;37;F;Urban; 1 400 
145;2; 720 ; 596 ; -   ; -   ; -   ; -   ;Private;Pickup;48;M;Urban; 1 019 
146;5; 709 ; 611 ; 729 ; 787 ; 698 ; -   ;Private;Sedan;47;M;Urban; 1 101 
147;1; 646 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;41;M;Urban; 1 214 
148;4; 675 ; 684 ; 731 ; 730 ; -   ; -   ;Private;SUV;49;F;Urban; 1 233 
149;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;M;Rural; 1 454 
150;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;47;M;Urban; 1 068 
151;1; 792 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;30;F;Rural; 1 357 
152;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Rural; 1 305 
153;1; 698 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban; 1 209 
154;1; 653 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban; 1 235 
155;2; 705 ; 765 ; -   ; -   ; -   ; -   ;Commercial;Van;33;F;Urban; 1 039 
156;1; 709 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;F;Urban; 1 150 
157;2; 692 ; 735 ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;F;Urban; 1 218 
158;3; 611 ; 696 ; 764 ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 166 
159;1; 732 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;62;F;Urban; 1 152 
160;2; 756 ; 774 ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban; 1 285 
161;3; 648 ; 707 ; 744 ; -   ; -   ; -   ;Private;SUV;36;F;Rural; 1 039 
162;1; 750 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban; 1 466 
163;1; 567 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Urban; 1 099 
164;2; 669 ; 733 ; -   ; -   ; -   ; -   ;Commercial;Pickup;51;M;Urban; 1 303 
165;2; 694 ; 695 ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Rural; 1 472 
166;1; 654 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;F;Urban; 1 258 
167;3; 629 ; 617 ; 748 ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 349 
168;3; 718 ; 775 ; 632 ; -   ; -   ; -   ;Commercial;Pickup;39;F;Urban; 1 094 
169;1; 660 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;43;F;Urban; 1 370 
170;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;60;F;Urban; 1 335 
171;4; 651 ; 700 ; 789 ; 726 ; -   ; -   ;Private;Pickup;55;M;Rural; 1 115 
172;4; 697 ; 707 ; 748 ; 685 ; -   ; -   ;Private;SUV;40;F;Urban; 1 355 
173;2; 664 ; 681 ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban; 1 042 
174;1; 669 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;49;M;Urban; 1 173 
175;3; 703 ; 630 ; 694 ; -   ; -   ; -   ;Private;Pickup;38;M;Urban; 1 176 
176;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;42;M;Urban; 1 033 
177;1; 716 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;F;Urban; 1 299 
178;3; 610 ; 788 ; 673 ; -   ; -   ; -   ;Commercial;Pickup;49;F;Urban; 1 222 
179;1; 703 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban; 1 221 
180;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;34;M;Urban; 1 336 
181;2; 668 ; 689 ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban; 1 185 
182;1; 718 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban; 1 120 
183;1; 704 ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Urban; 1 466 
184;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban; 1 199 
185;3; 810 ; 739 ; 604 ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Rural; 1 115 
186;3; 776 ; 671 ; 692 ; -   ; -   ; -   ;Private;SUV;40;F;Urban; 1 023 
187;1; 752 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;40;F;Urban; 1 387 
188;1; 613 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 268 
189;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;80;M;Urban; 1 271 
190;2; 654 ; 696 ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban; 1 401 
191;1; 736 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;37;M;Rural; 1 083 
192;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Rural; 1 415 
193;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;26;M;Urban; 1 027 
194;1; 602 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;F;Urban; 1 016 
195;1; 634 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban; 1 317 
196;2; 636 ; 520 ; -   ; -   ; -   ; -   ;Private;Sports Car;42;F;Urban; 1 078 
197;3; 736 ; 648 ; 644 ; -   ; -   ; -   ;Private;Sedan;36;F;Urban; 1 245 
198;1; 748 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;45;F;Rural; 1 322 
199;1; 644 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;52;F;Rural; 1 484 
200;1; 727 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Rural; 1 357 
201;4; 661 ; 724 ; 748 ; 686 ; -   ; -   ;Private;Sports Car;36;F;Urban; 1 472 
202;2; 644 ; 765 ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Urban; 1 066 
203;1; 576 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;53;F;Rural; 1 396 
204;3; 744 ; 616 ; 787 ; -   ; -   ; -   ;Private;SUV;39;F;Urban; 1 209 
205;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural; 1 355 
206;4; 679 ; 695 ; 632 ; 733 ; -   ; -   ;Private;Sedan;45;M;Urban; 1 182 
207;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Rural; 1 094 
208;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;M;Urban; 1 292 
209;1; 660 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 059 
210;3; 658 ; 630 ; 681 ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban; 1 112 
211;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;61;F;Rural; 1 082 
212;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Rural; 1 137 
213;2; 655 ; 733 ; -   ; -   ; -   ; -   ;Private;Sports Car;62;F;Urban; 1 092 
214;1; 778 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban; 1 149 
215;2; 671 ; 762 ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;M;Urban; 1 219 
216;2; 705 ; 646 ; -   ; -   ; -   ; -   ;Commercial;Pickup;54;F;Urban; 1 232 
217;3; 772 ; 699 ; 682 ; -   ; -   ; -   ;Private;Sedan;53;F;Rural; 1 295 
218;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban; 1 346 
219;1; 633 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Rural; 1 014 
220;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;38;F;Rural; 1 135 
221;2; 716 ; 652 ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban; 1 143 
222;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;31;F;Urban; 1 350 
223;1; 797 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban; 1 328 
224;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural; 1 429 
225;2; 612 ; 704 ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban; 1 210 
226;4; 642 ; 690 ; 666 ; 774 ; -   ; -   ;Private;SUV;48;F;Urban; 1 177 
227;3; 634 ; 633 ; 668 ; -   ; -   ; -   ;Private;SUV;49;F;Urban; 1 190 
228;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;45;F;Urban; 1 320 
229;2; 708 ; 707 ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban; 1 035 
230;2; 714 ; 683 ; -   ; -   ; -   ; -   ;Private;Pickup;41;F;Rural; 1 220 
231;1; 669 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;45;F;Rural; 1 122 
232;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;53;F;Urban; 1 117 
233;1; 714 ; -   ; -   ; -   ; -   ; -   ;Private;Van;51;F;Urban; 1 293 
234;2; 684 ; 676 ; -   ; -   ; -   ; -   ;Private;Sports Car;51;F;Urban; 1 165 
235;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;36;M;Urban; 1 375 
236;2; 774 ; 669 ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 206 
237;1; 835 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;F;Urban; 1 314 
238;1; 773 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban; 1 447 
239;1; 714 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban; 1 179 
240;2; 731 ; 647 ; -   ; -   ; -   ; -   ;Private;SUV;31;F;Rural; 1 046 
241;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban; 1 175 
242;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;58;F;Urban; 1 041 
243;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban; 1 366 
244;1; 714 ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;F;Urban; 1 476 
245;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;45;M;Urban; 1 112 
246;1; 665 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban; 1 203 
247;2; 732 ; 700 ; -   ; -   ; -   ; -   ;Commercial;Van;47;M;Urban; 1 214 
248;2; 687 ; 614 ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;M;Urban; 1 397 
249;1; 668 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban; 1 374 
250;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;F;Urban; 1 294 
